"Time","Coral","Macro","Turf"
0,0.85,0.049999999999999836,0.10000000000000019
1,0.6725500236624335,0.03922974164495618,0.2882202346919669
2,0.5990201328523762,0.04341039229575589,0.3575694748518795
3,0.5590126123888605,0.05148985700451749,0.3894975306066216
4,0.5339635513730911,0.058643944919055176,0.40739250370785396
5,0.5164270759698721,0.06758109439497811,0.4159918296351496
6,0.5021431682762513,0.07793228110425328,0.41992455061949724
7,0.4866409136633933,0.09846888370084383,0.41489020263576293
8,0.47076698756730917,0.11360601951979503,0.4156269929128959
9,0.45594905899074745,0.12685918894965095,0.4171917520596008
10,0.44474155613231187,0.13096035842719186,0.4242980854404975
11,0.42794611162302915,0.16239192157508836,0.40966196680188277
12,0.4043799032027023,0.20185908116170603,0.39376101563559157
13,0.37379119419957285,0.24617482520055864,0.38003398059986854
14,0.34069887762445483,0.2899384072937711,0.36936271508176904
15,0.30342033755850445,0.3518247253140392,0.34475493712745536
16,0.26287216947712944,0.41347690781256696,0.3236509227103035
17,0.22004057684475273,0.4871131568828892,0.2928462662723582
18,0.1802284255785281,0.5360154631725803,0.28375611124889183
19,0.14445899397534095,0.5890400103002471,0.26650099572441177
20,0.11180876623245556,0.659104328923297,0.22908690484424762
21,0.08329257171083893,0.7182383407886543,0.1984690875005074
22,0.0599870143774789,0.7682656144328506,0.17174737118967037
23,0.04221216836938097,0.7920934062920921,0.1656944253385266
24,0.029666125152402113,0.7952701283052267,0.1750637465423628
25,0.021043822034891028,0.8047737172502707,0.17418246071483842
26,0.014678532253809558,0.8206663787411986,0.16465508900499062
27,0.010170381626970855,0.8241685672367174,0.1656610511363098
28,0.007066347722429816,0.8207098211944794,0.17222383108326456
29,0.004900041724841914,0.848072488689006,0.14702746958615556
30,0.0033920786407258007,0.8211775539186245,0.1754303674406228
31,0.0023893757527928793,0.8417862258961339,0.15582439835107714
32,0.0016260556939573607,0.876729466340259,0.1216444779657825
33,0.0010755105957654591,0.8877658845394557,0.11115860486477867
34,0.0007418075581516159,0.8478480122815992,0.15141018016025085
35,0.0005067521998344523,0.8592603608358435,0.14023288696432354
36,0.0003433635127538675,0.8689834388845847,0.13067319760266213
37,0.0002302474611124313,0.8797382643370774,0.12003148820181081
38,0.00015396890524295293,0.8699873607933003,0.1298586703014566
39,0.00010317105046197343,0.8742801044014334,0.12561672454810474
40,0.00006861412055349938,0.8808010180232142,0.11913036785623127
41,0.00004586018546442042,0.8511488428426922,0.14880529697184347
42,0.00003181901190043438,0.8388729478580628,0.16109523313003685
43,0.000022028787143514835,0.8466232982797671,0.15335467293309055
44,0.000014925529844011617,0.8678334125833177,0.1321516618868395
45,9.923017791068226e-6,0.8900626843366822,0.10992739264552868
46,6.471022694051789e-6,0.9082879086460136,0.0917056203312942
47,4.341069224941935e-6,0.8505395204689925,0.1494561384617827
48,2.9754554610445487e-6,0.8658199317228206,0.1341770928217162
49,1.980505928956831e-6,0.8767704381527258,0.12322758134129586
50,1.3528493202113556e-6,0.8438365603175962,0.15616208683308355
51,9.258010916379865e-7,0.8589989786598768,0.1410000955390302
52,6.33524502568955e-7,0.8651016203956325,0.1348977460798639
53,4.251206612502952e-7,0.8717876001416228,0.12821197473771584
54,2.78469288838378e-7,0.905282943523769,0.09471677800694277
55,1.8150167699597858e-7,0.9009057566558408,0.09909406184248121
56,1.1915157586117541e-7,0.8686294497373156,0.131370431111169
57,8.005157163623036e-8,0.8841896872090609,0.11581023273936884
58,5.301905529443281e-8,0.8775226944977211,0.12247725248323005
59,3.6629026507061615e-8,0.8481556096674957,0.15184435370347774
60,2.5042864656544172e-8,0.8428030524923042,0.157196922464831
61,1.7099684465541384e-8,0.8625307325773746,0.13746925032294102
62,1.1333796997664416e-8,0.8883918061840911,0.11160818248211155
63,7.463123601323373e-9,0.8807168606416534,0.11928313189521833
64,4.9678030098452495e-9,0.8822378330377252,0.11776216199447181
65,3.3710996412264447e-9,0.8558670756778981,0.14413292095100239
66,2.25179246119425e-9,0.8891236824893783,0.11087631525883
67,1.4947938288707817e-9,0.8839517706324962,0.11604822787271038
68,9.831363437332502e-10,0.8750287405823666,0.12497125843456436
69,6.679005304385771e-10,0.8412547752716136,0.15874522406056266
70,4.6046255407899073e-10,0.8540452172627825,0.14595478227675454
71,3.1319493035985523e-10,0.8547210072519571,0.14527899243488318
72,2.1236518622560722e-10,0.8675995548211217,0.13240044496651304
73,1.4121072819000866e-10,0.8990271842132886,0.10097281564550056
74,9.187035868380087e-11,0.8930319956793603,0.10696800422881053
75,6.151626195023181e-11,0.8589848981982291,0.14101510174004434
76,4.1444025135583954e-11,0.8683328703658866,0.13166712959266988
77,2.765166549694891e-11,0.8752619081960437,0.12473809177630361
78,1.862210222029947e-11,0.8753282099389421,0.12467179004243784
79,1.2468678939518988e-11,0.8805411948726453,0.11945880511488632
80,8.233095114450236e-12,0.8977530563437197,0.10224694364804747
81,5.520800713330576e-12,0.861777045765083,0.13822295422939634
82,3.710777742491068e-12,0.8672025657157824,0.13279743428050786
83,2.4844558064752442e-12,0.8760891844892796,0.1239108155082358
84,1.70514425840123e-12,0.8377400517592953,0.162259948239014
