"Time","Coral","Macro"
0,0.15159420114897537,0.37740552245715375,0.4710002763938709
4,0.23217293604251613,0.17700230779389106,0.590824703404504
8,0.40253592388041937,0.031354445705814,0.5661095192895391
12,0.5315548269004036,0.001184860344449449,0.46726022168896236
16,0.5567512504270788,7.531937982363917e-6,0.44324113978430524
20,0.5596522812184258,6.21928726860687e-10,0.4403476423076273
24,0.5599629366294171,7.275555646647095e-10,0.44003698678998737
28,0.5599959857623511,7.574366481958807e-10,0.44000393762654805
32,0.5599995426663806,6.257314878281363e-10,0.44000038085418947
36,0.5599999454493023,8.802140260835503e-10,0.43999997781678524
40,0.5599999923319816,1.5606793236323677e-9,0.44000000610733914
