"Time","Coral","Macro"
0,0.5904336941026427,0.16685176667874171,0.2427145392186156
4,0.5507551344290377,0.002696030212481021,0.44654854492724
8,0.5586886998271019,0.0000777090343173676,0.44123330248219605
12,0.559839567317638,0.000013209809668252105,0.4401469340578845
16,0.5599794546037871,2.4208361388439796e-6,0.44001783577391407
20,0.5599976169991105,5.599444500294102e-9,0.44000208858393836
24,0.559999720092694,5.015837289817585e-9,0.439999986073962
28,0.5599999598544521,8.228470931485123e-9,0.43999974309957035
32,0.5599999857982397,1.0341549044130641e-8,0.43999971504257324
36,0.5599999833465533,1.7096514556957854e-8,0.4399997107392942
40,0.5599999739264198,3.325483151045405e-8,0.43999999281874874
