"Time","Coral","Macro"
0,0.12431173180078837,0.6746963098911385,0.20099195830807315
4,0.14286994833473385,0.16822813355811647,0.6889018038390302
8,0.35188679076200957,0.0212444050169892,0.6268685214211666
12,0.5234165536192021,0.0009261795646885885,0.4756569365899164
16,0.5558159621317814,5.175329206811282e-6,0.4441785530308805
20,0.5595498061745063,4.5798615069248914e-7,0.4404494280581593
24,0.5599510707169809,1.3494349256429538e-6,0.4400472720619911
28,0.5599933258557114,1.090619604942119e-6,0.44000527573604914
32,0.5599978949218766,1.363206815785699e-6,0.4400004340825332
36,0.5599981183228826,1.6132071085152127e-6,0.43999996068123437
40,0.5599964563927844,4.555555641173803e-6,0.4399989880515744
