"Time","Coral","Macro"
0,0.2679222680372292,0.5959204680570458,0.13615726390572502
4,0.30918316186634326,0.15662793425342708,0.534188494226093
8,0.4767401843699418,0.00016831483376768584,0.5230910304955555
12,0.5497530644773176,2.8578819306503283e-6,0.4502436468239211
16,0.55889078862555,1.115238619942021e-8,0.4411087748773952
20,0.559881728737272,1.176287647357769e-9,0.44011784478340493
24,0.5599873609997803,3.0274400272284358e-9,0.4400122105962185
28,0.5599985948538421,3.990256873267763e-9,0.44000097585305603
32,0.5599998303128945,5.1533358919200305e-9,0.43999973915265866
36,0.5599999733343386,5.538249553929531e-9,0.43999959574630104
40,0.5599999897752602,9.154986787842985e-9,0.440000001069753
