"Time","Coral","Macro"
0,0.26480771432442585,0.25206604818467326,0.4831262374909009
4,0.412014792988758,0.006702824821357338,0.581282688968961
8,0.5379242234114305,0.0002953833630704164,0.4617803158027885
12,0.5575370951253743,5.024665406374033e-6,0.442457815829564
16,0.559735937284997,4.0539986306754325e-8,0.4402639593339773
20,0.5599718457787949,3.121875841407528e-10,0.4400280910697535
24,0.5599969411132658,5.484497756619079e-10,0.4400029954972046
28,0.5599996500531176,8.496971930667986e-10,0.4400002862561053
32,0.5599999575946537,2.0527282988016792e-9,0.43999997751150943
36,0.5599999926298082,2.9227614168616698e-9,0.439999941606322
40,0.5599999955164946,3.5654864335599098e-9,0.440000000918019
