"Time","Coral","Macro"
0.,0.26480771432442585,0.25206604818467326,0.4831262374909009
0.5,0.2657533365228227,0.27027742951550754,0.46396926656483306
1.,0.2635895952530992,0.29584680400250113,0.44056362469432714
1.5,0.2583310506838209,0.3206758027073753,0.42099317887705606
2.,0.24909887615613963,0.3679787753150746,0.3829223430644294
2.5,0.23569124942898798,0.4102122875247588,0.35409647679107903
3.,0.21882256452329685,0.46427817804718363,0.31689925398084823
3.5,0.20021550398425492,0.49608563717511467,0.30369890682796535
4.,0.18915177831246272,0.38541608346609013,0.4254325297556534
4.5,0.18172946681304916,0.4403763715214388,0.3778941360382071
5.,0.17240398899862916,0.4476824619931124,0.37991362928622263
5.5,0.16208770947096166,0.4900840499176857,0.347828246460715
6.,0.14953373156882066,0.5371884754862533,0.31327779354876106
6.5,0.13508774169181195,0.590791533420503,0.2741207155082956
7.,0.12241479922267878,0.5546486119457262,0.3229367819733833
7.5,0.11083928836463125,0.6115655890455334,0.27759509947361666
8.,0.09835275525293705,0.6503477922071984,0.2512994701044478
8.5,0.08593893722296411,0.6901251009440172,0.22393597675737906
9.,0.07626770430962339,0.620320889226367,0.3034116775440635
9.5,0.06857568474377909,0.6520136753715824,0.2794106617494214
10.,0.0602807088173555,0.7161262506409501,0.22359299306030178
10.5,0.05161399481728146,0.7633599171186566,0.1850260768766073
11.,0.043952289928397954,0.7534701319692115,0.20257769566176415
11.5,0.03766679944165071,0.7522729570279898,0.21006033685028808
12.,0.03194680879018724,0.7998737916895268,0.16817938000883623
12.5,0.0269113038838405,0.7895569047765355,0.18353190330296798
13.,0.022684531935385974,0.8044286585439521,0.17288686015979599
13.5,0.019024933342293847,0.8153147570769654,0.16566036800285305
14.,0.015798767804367394,0.8456388951284526,0.1385623495297706
14.5,0.012941506828125674,0.8707406829579251,0.11631783343339862
15.,0.01057020164647521,0.8627639900766519,0.12666590804278963
15.5,0.008632619628417037,0.8738349883591164,0.11753244545841772
16.,0.007320177226386339,0.7405328905415218,0.2521473506684025
16.5,0.006375657035547198,0.766449877378791,0.2271744833976616
17.,0.005532430976704424,0.7573140370252586,0.23715363004517742
17.5,0.004839928677916732,0.7387814588301225,0.2563787322985819
18.,0.0042142903557809645,0.7730736306910241,0.2227120773444516
18.5,0.0036051026948122054,0.8043472999490016,0.19204760192154036
19.,0.003023117967794638,0.8461192601731086,0.15085760227345252
19.5,0.002513450902391187,0.8388816710811208,0.15860497102534696
20.,0.002109807535866693,0.8132593087363665,0.18463102051751581
20.5,0.001836097599954243,0.7138492386742546,0.28431498585954224
21.,0.0017076345931473162,0.5757181099951001,0.4225746799882982
21.5,0.0016514579611025802,0.5616445995121255,0.4367040490929152
22.,0.0016421574781285463,0.4791207543277624,0.5192373610341844
22.5,0.0017225354092885816,0.3699938728590536,0.6282839362289264
23.,0.0018380992482062725,0.4084508798387741,0.5897110162681947
23.5,0.0019029606567099904,0.48001882958159336,0.5180781405079925
24.,0.0020045415215153824,0.3551993372720891,0.6427965105791634
24.5,0.0022503485598193086,0.2471561310608187,0.7505938684694246
25.,0.0026532529566229957,0.17307626525288664,0.8242707395673187
25.5,0.003175297176053491,0.1866815413638706,0.8101432078536976
26.,0.003761449793524584,0.20931230763332298,0.786926271552265
26.5,0.0044108360873516515,0.2222612917877979,0.773327919156496
27.,0.005097569215435479,0.2615115636962344,0.7333908644567756
27.5,0.0058213883931152914,0.2638964523743766,0.7302822273054661
28.,0.0066027888019716185,0.2848464003353198,0.7085508412218784
28.5,0.0073762969273001,0.3177004413603425,0.6749232686299671
29.,0.008060104253912988,0.3640243747278864,0.6279155015976278
29.5,0.008530135619155076,0.43308101562556034,0.5583887855325468
30.,0.009165807226189475,0.31664175723032556,0.6741928021095903
30.5,0.010067887460423412,0.3424403982307754,0.6474917339505316
31.,0.010866848705219688,0.37870479998854983,0.610428350031903
31.5,0.011610923210528146,0.3782073729322664,0.6101817778681518
32.,0.012357607493746627,0.39125201392993975,0.5963904237689932
32.5,0.013082466780656865,0.3963752743418938,0.5905423208147832
33.,0.013758384593998451,0.41383438584821536,0.5724072655156385
33.5,0.015896087818667012,0.1175173701529236,0.8665877155241826
34.,0.019605414949922025,0.1060877886739701,0.8743068885638048
34.5,0.02405824082562118,0.12872754550630466,0.8472142377032957
35.,0.02899733216860852,0.16324606926188806,0.8077566004708
35.5,0.03421210100620063,0.1966988135338276,0.7690890864068126
36.,0.03957592038700813,0.22495025472035585,0.735473833288166
36.5,0.04519035878626399,0.23361547662515325,0.7211942097640872
37.,0.05120890386631442,0.24210488613295011,0.7066862545556318
37.5,0.05787636731449788,0.23202398640861774,0.7100997288884551
38.,0.066829898009079,0.1559523803308904,0.7772179717406312
38.5,0.0781615214899888,0.16082385148311187,0.7610146690424591
39.,0.09114587187463186,0.14508821162735136,0.7637659997401631
39.5,0.10593913356399197,0.14695731916267613,0.7471035883769114
40.,0.12459478030611634,0.07961081350541152,0.7957944061884722
