"Time","Coral","Macro"
0,0.23064414749524176,0.3806984800383004,0.3886573724664578
2,0.2361125201572575,0.2589700231668776,0.5049172902867062
4,0.30313737936403906,0.12592147078048127,0.5709409825534605
6,0.39152370361312294,0.017089637113586253,0.5913864524117093
8,0.48204428274551536,0.00957046794159007,0.5083850733112284
10,0.5294327516607856,0.0014544319782641745,0.4691126558230034
12,0.5494257447214107,8.424170608283263e-6,0.4505656828400567
14,0.5565031477995045,8.525644408853381e-7,0.4434958561948412
16,0.5588538760314329,1.0453813522973944e-7,0.4411458770748494
18,0.5596254933516195,2.299510763406709e-8,0.44037434247985585
20,0.5598777664475286,-2.7299651874869754e-11,0.44012209206106273
22,0.559960076862126,-2.871473521008681e-11,0.44003978164679575
24,0.5599869205595437,-4.350370266448892e-11,0.4400129379600774
26,0.559995685803174,-4.344876819714972e-11,0.4400041727180038
28,0.559998559751281,-6.052768247676845e-11,0.44000129878536415
30,0.5599995096455859,-7.212052264900681e-11,0.4400003489026521
32,0.559999832637847,-1.3073211137029385e-10,0.4400000259689381
34,0.5599999426487482,-1.0756462040496653e-10,0.4399999159348696
36,0.5599999801072181,-1.0801520113173512e-10,0.43999987847685035
38,0.5599999928438791,-3.0610657020321174e-11,0.43999986566278465
40,0.5599999978151998,-4.839909875037126e-11,0.44000000223319924
