"Time","Coral","Macro"
0,0.26480771432442585,0.25206604818467326,0.4831262374909009
2,0.3345344521819408,0.09488171926913612,0.5705837087547859
4,0.412014792988758,0.006702824821357338,0.581282688968961
6,0.49879969878899677,0.001850758662360205,0.499349444506632
8,0.5379242234114305,0.0002953833630704164,0.4617803158027885
10,0.5525426450244303,0.000022373840520414534,0.44743491316276796
12,0.5575370951253743,5.024665406374033e-6,0.442457815829564
14,0.5591927400325591,1.0149523683888585e-6,0.4408061818361871
16,0.559735937284997,4.0539986306754325e-8,0.4402639593339773
18,0.5599138280529,1.9057727663263907e-9,0.4400861072002473
20,0.5599718457787949,3.121875841407528e-10,0.4400280910697535
22,0.5599907645091415,4.224383889673897e-10,0.4400091722273401
24,0.5599969411132658,5.484497756619079e-10,0.4400029954972046
26,0.5599989743659526,5.573534926698411e-10,0.44000096223487567
28,0.5599996500531176,8.496971930667986e-10,0.4400002862561053
30,0.5599998797584393,1.2846481410076192e-9,0.44000005611583254
32,0.5599999575946537,2.0527282988016792e-9,0.43999997751150943
34,0.5599999839520908,1.62238411339043e-9,0.4399999515844166
36,0.5599999926298082,2.9227614168616698e-9,0.439999941606322
38,0.5599999947879091,3.4333807641714843e-9,0.43999993893760186
40,0.5599999955164946,3.5654864335599098e-9,0.440000000918019
