"Time","Coral","Macro"
0,0.5333438854638661,0.16566918449701268,0.3009869300391212
2,0.45909213159772966,0.09787424344619156,0.4430335235902341
4,0.500992556205649,0.009701081274408059,0.4893061215768269
6,0.5348659818898489,0.004594574105489101,0.4605392193409222
8,0.5508819360107741,8.035590611650991e-6,0.44910981010001255
10,0.5569892205574316,2.6101555389398575e-6,0.44300795533426973
12,0.5590123164826023,1.4565089886862677e-6,0.4409860143001692
14,0.5596770074204906,9.116422576248439e-8,0.44032268870124014
16,0.5598945564980408,2.0741950720544073e-8,0.44010521005379044
18,0.55996555190101,4.295139394740255e-9,0.44003423109600215
20,0.5599887127871712,6.585723911156812e-10,0.4400110738402613
22,0.5599962779158384,8.801186854032339e-10,0.44000350849619435
24,0.559998751174834,1.2606414719650764e-9,0.44000103484803
26,0.5599995734412783,1.7327274933559855e-9,0.4400002121119992
28,0.5599998523496033,2.65998216250788e-9,0.4399999322764195
30,0.5599999469890198,2.8887516702864557e-9,0.43999983740823345
32,0.5599999791166663,3.513000668190468e-9,0.43999980465624106
34,0.5599999892064095,3.765839418318308e-9,0.4399997943136593
36,0.5599999925145092,4.718131198029978e-9,0.43999979005326784
38,0.5599999930767335,6.0911503324991914e-9,0.43999978811802437
40,0.559999992241509,8.807283457364489e-9,0.43999999895120756
