"Time","Coral","Macro"
0,0.15159420114897537,0.37740552245715375,0.4710002763938709
2,0.18056239989339773,0.2149997465634939,0.6044377500445713
4,0.23217293604251613,0.17700230779389106,0.590824703404504
6,0.30167260782953853,0.09142708581213105,0.6069002475425607
8,0.40253592388041937,0.031354445705814,0.5661095192895391
10,0.4869553603619661,0.005573341316986379,0.5074711819222739
12,0.5315548269004036,0.001184860344449449,0.46726022168896236
14,0.5502070451393193,0.00006491119644435715,0.4497279614625202
16,0.5567512504270788,7.531937982363917e-6,0.44324113978430524
18,0.5589356429099394,1.4922362521445892e-9,0.44106427930115316
20,0.5596522812184258,6.21928726860687e-10,0.4403476423076273
22,0.5598865279071118,5.186606260539813e-10,0.44011339572184605
24,0.5599629366294171,7.275555646647095e-10,0.44003698678998737
26,0.5599878547488732,5.29613973074527e-10,0.44001206887056377
28,0.5599959857623511,7.574366481958807e-10,0.44000393762654805
30,0.559998658656793,5.840360401825967e-10,0.4400012649082221
32,0.5599995426663806,6.257314878281363e-10,0.44000038085418947
34,0.5599998430037878,8.674134646052752e-10,0.4400000802751003
36,0.5599999454493023,8.802140260835503e-10,0.43999997781678524
38,0.5599999802812896,1.2485613908026465e-9,0.43999994261645053
40,0.5599999923319816,1.5606793236323677e-9,0.44000000610733914
