"Time","Coral","Macro","Turf"
0,0.26434138201675417,0.6005498878378692,0.053980954391073775
2,0.23118926881828852,0.19670596495613454,0.5593998270562961
4,0.3477047700261429,0.19254514395490083,0.49464547070210324
6,0.2727922746759845,0.18779590964098203,0.45106760676267954
8,0.30185519507479025,0.21187736952820874,0.6243788785673422
10,0.4564236456540531,0.0893305438916629,0.5522000384815139
12,0.6237156699687162,0.020471546320287987,0.44756615754516976
14,0.5154682133036929,-0.045906212235160275,0.39228533019676726
16,0.6533206837697069,0.0361579952772508,0.43097358090719173
18,0.6159687541867724,-0.03595807281701018,0.4434165550031877
20,0.6195385532383738,0.06060018722428237,0.4092576195469115
22,0.6001282469470989,0.02180501673221437,0.3959446684035103
24,0.6115876848322445,-0.012092983149230838,0.38163231734608105
26,0.583915464156354,0.0039222663085641115,0.40963786400953467
28,0.5920000281048504,0.03308904094374033,0.42395063282286116
30,0.49812233965294955,-0.05089382609571392,0.4590510959475261
32,0.5657881529348786,-0.11933524082359558,0.3746672888656284
34,0.4865067370002315,0.03198825519503129,0.42809445699675985
36,0.5613212884840976,0.003351579196478441,0.4657352909911484
38,0.5747491222619366,-0.02312762913410432,0.39095397546970884
40,0.5286155027035215,0.04264312470602712,0.4777796408227554
