"Time","Coral","Macro"
0,0.1844814869380651,0.12186648217006445,0.6936520308918704
2,0.24410703295790462,0.2435970136620138,0.512295974625465
4,0.23478727639014346,0.33600758618691134,0.4292052426632295
6,0.18493629219146607,0.5055618570158031,0.30950193724866737
8,0.1422583490696327,0.47544938585594576,0.38229236460909577
10,0.09806877614123975,0.6611021955939544,0.24082904525959864
12,0.05126550016928945,0.7935561130750467,0.1551784460293826
14,0.024060847931349664,0.8162031990257645,0.15973603750810447
16,0.011251289212179104,0.8765761860082131,0.1121725756891375
18,0.005408558541958814,0.8369707607624223,0.15762071435486594
20,0.002503463126587925,0.8569184064623633,0.1405782551623489
22,0.001522927469540725,0.5307766801039985,0.4677008844194084
24,0.0022195072062549284,0.35204136492875565,0.6457391311688258
26,0.003205059017367911,0.3195889064849942,0.6772061319877943
28,0.005841279289918663,0.2145817323010802,0.7795770682505744
30,0.009569532480919612,0.31899704806213824,0.6714335093273985
32,0.015838393607203256,0.2826147841105319,0.7015468931663724
34,0.035131607033222864,0.014641269779569517,0.9502272034357212
36,0.09199917427470312,0.02089955816915758,0.8871013275858209
38,0.20327103999718352,0.016482575291843642,0.7802464282581094
40,0.34871408820952327,0.0055208596767058115,0.6457650521137711
