"Time","Coral","Macro"
0,0.23064414749524176,0.3806984800383004,0.3886573724664578
2,0.17260026685863508,0.5410078125117088,0.28639191143256304
4,0.11170498727904192,0.6479936694033742,0.24030135194891777
6,0.06729818995400788,0.6452710366948631,0.287430718185268
8,0.03800942001004907,0.7817137320396137,0.18027686098239024
10,0.019776989770306765,0.8064289493053588,0.1737940223627343
12,0.011349242375744854,0.6775963035342154,0.31105458700569744
14,0.006752538570799653,0.7699445844653467,0.22330289847096638
16,0.0034326383090102653,0.7971274242878176,0.19944009345451194
18,0.0016783481159248982,0.84584690991915,0.15247475761035986
20,0.0010088995834420119,0.6580080146233483,0.3409829834216444
22,0.0012218147389951473,0.3070984462157399,0.6916798326099288
24,0.001725456331263537,0.3569184287783976,0.6413562566663467
26,0.0029488752521911895,0.18988176602876822,0.8071694527157044
28,0.00559028859837082,0.226115769707165,0.7682939756658218
30,0.01118400913581092,0.1969633679587377,0.7918526171398254
32,0.017642465036886636,0.35617178553739604,0.6261857363551748
34,0.029520509531952458,0.11402834319982255,0.8564512612168097
36,0.07127141301110815,0.07136717026491309,0.857361425869839
38,0.16325638373935655,0.0011243708333490239,0.8356192460406203
40,0.3114921469433191,0.0013116506677879058,0.6871962023888929
