"Time","Coral","Macro"
0,0.20708199837670738,0.3564601130544159,0.43645788856887674
2,0.1768399812326124,0.4612604938813088,0.36189949009045674
4,0.12681518347238574,0.6217360008679325,0.25144882807605146
6,0.07139026916545829,0.7312515036617194,0.19735826751908073
8,0.03780145747149604,0.783345445381363,0.1788531299438224
10,0.018085277283535445,0.8485394779572529,0.13337529414884203
12,0.008668508944862083,0.8413017977775387,0.15002971284399794
14,0.004005985536964041,0.8878797311247042,0.10811432010143486
16,0.0018892700408423876,0.8749845268617236,0.12312620142962273
18,0.0009151913893835867,0.8104869223470499,0.1885979795863334
20,0.0004885371939896109,0.7704638657912511,0.22904774252852703
22,0.0006766476490226422,0.30621216313014876,0.6931111566857326
24,0.0012984501685439076,0.1550645873486149,0.8436370086216773
26,0.003484152311416752,0.014148312042354016,0.9823676092964084
28,0.010097199695188715,0.02887338743581547,0.9610294758215837
30,0.02757274547526773,0.025629711959557388,0.9467976373465632
32,0.07372096369686998,0.024126655761270557,0.9021524230752954
34,0.17238000347274185,0.019200789663270258,0.8084192212548656
36,0.31157955011238603,0.023354279973598277,0.6650661692663011
38,0.4327354267028088,0.011509665952127318,0.5557549374460955
40,0.5097918198206182,0.0003711616958872876,0.4898370184834944
