"Time","Coral","Macro"
0,0.15159420114897537,0.37740552245715375,0.4710002763938709
2,0.12610517349557177,0.5457777732128171,0.328117066778902
4,0.07857741069278919,0.6940425434710248,0.22738012232369878
6,0.042159017228137634,0.7520146422011358,0.20582644630814578
8,0.02237426015017786,0.788298199004493,0.18932761827600922
10,0.011762885076300137,0.8023635501813926,0.18587355288919283
12,0.005710541880654722,0.8217755391731139,0.17251403661056086
14,0.002992169201436109,0.79808237748854,0.1989255894783197
16,0.0015262924183359486,0.8221203157415536,0.17635355397449268
18,0.001166443158366509,0.6481043254497808,0.35072917981572477
20,0.0006882053283574534,0.834261173694771,0.16505062776639437
22,0.001085647795029811,0.28325695070183066,0.7156574332796696
24,0.0017818714676637185,0.310862397727441,0.6873557762521417
26,0.0036001151624614836,0.09254952417711457,0.9038504595489982
28,0.008456645593730518,0.13628989232488636,0.8552535096769013
30,0.020290266389512673,0.050601381565363354,0.9291085466453651
32,0.05388041840799081,0.04058598241715034,0.905533667398669
34,0.1273981825244838,0.05111064157019085,0.8214912167566597
36,0.25025784260422734,0.021267498599087255,0.7284747083885071
38,0.3861575456635338,0.013564577085769232,0.6002779295540513
40,0.4832171194099044,0.0034283130574615994,0.5133545675326328
