"Time","Coral","Macro"
0.,0.3399447461599433,0.3015698655286386,0.3584853883114181
0.5,0.3261186034576151,0.26548134050201205,0.4084000095291458
1.,0.31898377412845097,0.24806186699745178,0.43295424765046525
1.5,0.3165613003947404,0.22180157789499572,0.4616370211977829
2.,0.3193217111654114,0.18879348329389867,0.49188471019842206
2.5,0.32549054428498964,0.1741063084760858,0.5004029978838767
3.,0.33036211623635625,0.1932136393263109,0.4764240227184169
3.5,0.33393127410061746,0.18236203854082195,0.4837065347533763
4.,0.33895278814121665,0.17022321991005773,0.4908238391312089
4.5,0.3447679060629791,0.164541707533767,0.4906902165550964
5.,0.35201804325602215,0.14534156964841005,0.5026402467948975
5.5,0.3647983216789771,0.0961211044728262,0.5390805082630942
6.,0.38340282698992695,0.06367208135450411,0.5529249674871562
6.5,0.4011163375067298,0.07649014371385059,0.522393284078514
7.,0.4148039135747711,0.0774173696522577,0.5077785145034178
7.5,0.42777269215756525,0.06334763280257187,0.5088795109197641
8.,0.4461641284188872,0.017652214053662185,0.536183621125284
8.5,0.46739988955603773,0.004002134979588306,0.528597814924454
9.,0.4861405410734516,0.0038036291917230517,0.5100556191917542
9.5,0.5014470559972519,0.0033605671232329972,0.4951921742271602
10.,0.5140180059946476,0.0015083404102986474,0.48447346171036426
10.5,0.5241758529656529,0.001340050627005235,0.47448390430772797
11.,0.5322841953450895,0.0004781160954919353,0.4672375037716989
11.5,0.5387329533925717,0.00011166244261791933,0.46115520142990274
12.,0.5437600149688796,0.00003171898469864179,0.45620808529105866
12.5,0.5476300531879063,0.000032428437783154524,0.45233733989856056
13.,0.5505923168845882,0.000028252302891634496,0.44937925441152377
13.5,0.5528561220388057,9.336978161642391e-6,0.4471343662242456
14.,0.5545823838769625,3.3856280165159805e-6,0.4454140569100614
14.5,0.5558948035814609,3.4760605555975324e-6,0.4441015476965918
15.,0.5568909097629101,3.036870475701986e-6,0.44310588070649815
15.5,0.5576462115616336,2.8073796737075286e-6,0.4423508097016257
16.,0.5582187339695662,1.052857184912883e-6,0.44178004185140485
16.5,0.5586524862218031,5.467930732958217e-7,0.4413467956632794
17.,0.558980840018981,4.055834915227344e-7,0.4410185839896741
17.5,0.5592293478002116,8.615566195395006e-8,0.4407703956294919
18.,0.5594173451582177,4.406505164255611e-8,0.4405824407837567
18.5,0.5595595170229355,5.2460881374259775e-8,0.44044026052320867
19.,0.559667016919086,3.0988027285606736e-8,0.44033278167790163
19.5,0.5597482944014055,2.3498714704952728e-8,0.4402515116857403
20.,0.5598097505711999,1.4096102723926618e-8,0.4401900649202178
20.5,0.5598562057121323,1.61870256631014e-8,0.44014360769097494
21.,0.5598913181267624,1.821138459123687e-8,0.44010849325309886
21.5,0.559917855774652,2.084434140158958e-8,0.44008195296602176
22.,0.5599378858580396,1.0258823011680675e-8,0.44006193347207245
22.5,0.5599530378993682,1.1629936057119665e-8,0.44004678006063536
23.,0.5599644928077409,1.3494035429133814e-8,0.4400353232881634
23.5,0.5599731528194335,1.2508175669468851e-8,0.4400266642623306
24.,0.5599796995582431,1.3917477605645335e-8,0.4400201161092945
24.5,0.5599846236642232,1.581080869623135e-8,0.440015190113107
25.,0.5599883568558723,1.2857104464122539e-8,0.4400114598720384
25.5,0.5599911826926611,1.554252937319475e-8,0.44000863134982476
26.,0.559993321651055,1.699080429969165e-8,0.4400064909431559
26.5,0.5599949402588985,1.8317004159668075e-8,0.44000487100911273
27.,0.5599961484695996,2.013454863567274e-8,0.44000366098579147
27.5,0.5599970665451856,2.3474963045307566e-8,0.44000273956486663
28.,0.5599977642116352,2.2045456725104116e-8,0.44000204332792336
28.5,0.5599982943180016,2.4113138714514762e-8,0.4400015111538751
29.,0.5599986933422377,1.5304934490170816e-8,0.44000112093584065
29.5,0.5599989985187034,1.5800236221933897e-8,0.44000081526407325
30.,0.559999230184384,1.8781310852175245e-8,0.44000058061932057
30.5,0.5599994064324916,2.143666798254621e-8,0.44000040171585575
31.,0.5599995401999998,2.5148786502989112e-8,0.440000264236229
31.5,0.5599996431159694,1.9129806593302376e-8,0.44000016733923936
32.,0.5599997217139054,2.195310230871386e-8,0.44000008591793
32.5,0.5599997812932522,2.3231679806461786e-8,0.4400000250600058
33.,0.559999826017458,2.72196796597102e-8,0.43999997634780025
33.5,0.5599998590904112,3.156112198459975e-8,0.4399999389334047
34.,0.5599998846109229,2.7909679130052866e-8,0.43999991706433594
34.5,0.5599999035217746,3.3162487165136646e-8,0.43999989290067615
35.,0.5599999176702453,3.220423586333196e-8,0.43999987971045684
35.5,0.559999928057368,3.5142665979435633e-8,0.4399998663849039
36.,0.5599999377832471,2.3621263272961878e-8,0.4399998681804276
36.5,0.5599999459673886,2.4720932433691905e-8,0.43999985889661686
37.,0.5599999522174263,2.418176779489262e-8,0.4399998531857438
37.5,0.5599999572433291,2.3003997144902093e-8,0.4399998493376117
38.,0.5599999605007101,2.7000202401283287e-8,0.43999984208402537
38.5,0.5599999626097206,2.7151248718105873e-8,0.43999983982396856
39.,0.559999964748872,2.404681888316747e-8,0.4399998407892469
39.5,0.5599999658568177,2.867480739423467e-8,0.4399998350533129
40.,0.5599999677705921,2.4463555702997844e-8,0.4400000077658522
