"Time","Coral","Macro","Turf"
0,0.45,0.45,0.10000000000000003
2,0.3102754124563669,0.3003457653892388,0.3893788221543943
4,0.28430209014667496,0.268454912111937,0.44724299774138804
6,0.279356940569778,0.2562693448894209,0.4643737145408011
8,0.28077048084372414,0.24902539065122606,0.4702041285050498
10,0.2846889469811403,0.24278139797655773,0.47252965504230204
12,0.2899939243183097,0.2362533130193593,0.47375276266233096
14,0.29641179196850054,0.2289423596533153,0.47464584837818413
16,0.303955615067107,0.22059196215352445,0.47545242277936856
18,0.3127454312970737,0.21101948842073737,0.47623508028218897
20,0.322946211713684,0.20006780752796338,0.47698598075835263
22,0.33474072634463814,0.18760013986010132,0.47765913379526054
24,0.34830787977803623,0.1735158501398403,0.4781762700821235
26,0.36379358003617224,0.15778199000845275,0.47842442995537504
28,0.3812662664989901,0.14048014038052317,0.47825359312048676
30,0.4006533372255874,0.12186502156920521,0.4774816412052074
32,0.42166217602968015,0.10242199444003725,0.4759158295302826
34,0.44370570380294205,0.08289442710524696,0.473399869091811
36,0.4658761004108083,0.06423665708546407,0.46988724250372765
38,0.4870243611773828,0.04745749906734087,0.46551813975527634
40,0.5059768848995675,0.03337509960107734,0.4606480154993552
42,0.5218333414313258,0.022389605656746258,0.455777052911928
44,0.5341998567208399,0.014408389975531944,0.45139175330362813
46,0.5432248518075534,0.008965326005758261,0.4478098221866883
48,0.5494379519000421,0.005439711396486072,0.44512233670347184
50,0.5535148603731717,0.003242896549662645,0.4432422430771657
52,0.556092012495662,0.001910826398117071,0.44199716110622095
54,0.5576764979206364,0.0011176055061289658,0.4412058965732346
56,0.558631451078113,0.0006506837111022333,0.4407178652107848
58,0.5591990468047133,0.00037779166006233957,0.4404231615352243
60,0.5595332304575872,0.00021898702764556652,0.44024778251476726
62,0.5597287459167878,0.00012681064029716643,0.44014444344291503
64,0.5598426501279969,0.00007339181531322647,0.4400839580566898
66,0.5599088216597461,0.00004246567933436414,0.44004871266091955
68,0.559947205599592,0.000024564335031875937,0.4400282300653761
70,0.5599694456979456,0.000014208418385998395,0.4400163458836684
72,0.5599823215036028,8.217343873189615e-6,0.440009461152524
74,0.5599897781941979,4.751460473848235e-6,0.4400054703453282
76,0.5599940857214373,2.748094026157716e-6,0.44000316618453655
78,0.5599965794956695,1.5896581010220497e-6,0.44000183084622946
80,0.5599980204715876,9.197151501588642e-7,0.4400010598132622
82,0.5599988539352568,5.325002710008689e-7,0.4400006135644722
84,0.5599993366840175,3.0797347662023255e-7,0.4400003553425059
86,0.5599996186105831,1.7692359261492316e-7,0.4400002044658243
88,0.5599997811174876,1.0171129331857198e-7,0.44000011717121906
90,0.5599998755820526,5.7917837767180055e-8,0.4400000665001097
92,0.5599999282764428,3.327656738278987e-8,0.44000003844698976
94,0.5599999574986922,1.959795729353637e-8,0.44000002290335044
96,0.5599999748927168,1.1578479566995729e-8,0.44000001352880364
98,0.5599999854573172,6.772635178629048e-9,0.4400000077700476
100,0.5599999916030777,3.932362262234472e-9,0.44000000446456006
