"Time","Coral","Macro"
0,0.20708199837670738,0.3564601130544159,0.43645788856887674
4,0.12681518347238574,0.6217360008679325,0.25144882807605146
8,0.03780145747149604,0.783345445381363,0.1788531299438224
12,0.008668508944862083,0.8413017977775387,0.15002971284399794
16,0.0018892700408423876,0.8749845268617236,0.12312620142962273
20,0.0004885371939896109,0.7704638657912511,0.22904774252852703
24,0.0012984501685439076,0.1550645873486149,0.8436370086216773
28,0.010097199695188715,0.02887338743581547,0.9610294758215837
32,0.07372096369686998,0.024126655761270557,0.9021524230752954
36,0.31157955011238603,0.023354279973598277,0.6650661692663011
40,0.5097918198206182,0.0003711616958872876,0.4898370184834944
