"Time","Coral","Macro"
0,0.10047435037879826,0.13901151200331696,0.7605141376178848
4,0.16011233574197467,0.34774985336608466,0.4921380918928387
8,0.15459472290346477,0.4164558841297243,0.42894948141291056
12,0.06927293410534438,0.7538118817104515,0.1769152447192237
16,0.01605384013052843,0.803291477042933,0.18065471472119596
20,0.0036853353401318746,0.746273568653032,0.2500412052221135
24,0.003555453327015895,0.4576528741382171,0.5387917731642091
28,0.007971706498583522,0.3778863429261094,0.6141420040704015
32,0.024675056174383644,0.16862440035998788,0.8067006974512239
36,0.11232168847787771,0.11422154145440035,0.7734568466017855
40,0.3088343204603965,0.04761500275664238,0.6435506767829613
