"Time","Coral","Macro"
0,0.1844814869380651,0.12186648217006445,0.6936520308918704
4,0.23478727639014346,0.33600758618691134,0.4292052426632295
8,0.1422583490696327,0.47544938585594576,0.38229236460909577
12,0.05126550016928945,0.7935561130750467,0.1551784460293826
16,0.011251289212179104,0.8765761860082131,0.1121725756891375
20,0.002503463126587925,0.8569184064623633,0.1405782551623489
24,0.0022195072062549284,0.35204136492875565,0.6457391311688258
28,0.005841279289918663,0.2145817323010802,0.7795770682505744
32,0.015838393607203256,0.2826147841105319,0.7015468931663724
36,0.09199917427470312,0.02089955816915758,0.8871013275858209
40,0.34871408820952327,0.0055208596767058115,0.6457650521137711
