"Time","Coral","Macro"
0,0.3871322853512009,0.10521815009061784,0.5076495645581812
4,0.40007439973270936,0.15106196854796353,0.44886366232723857
8,0.2873633026196595,0.4002758086566777,0.31236090527279
12,0.12575085635438543,0.5143602196985162,0.35988903000289135
16,0.04700055942714781,0.7340149775441467,0.21898445945223521
20,0.01307229291017349,0.8445214278626724,0.14240629710337702
24,0.00756577868464914,0.4441553592865128,0.5482789463576407
28,0.014276112567971618,0.3380221316811221,0.6477018474729149
32,0.02691052265430652,0.29553389523473766,0.6775556704984695
36,0.09192729431755536,0.1475074172777834,0.7605654098587826
40,0.3078745508181063,0.004103719605507711,0.6880217295763862
