"Time","Coral","Macro","Turf"
0.,0.34251691229269765,0.599821090567955,0.07199827412370653
0.5,0.2706778360765823,0.5563592912254925,0.2892844980025796
1.,0.1909765789140454,0.42403282014976146,0.47104315816397235
1.5,0.30195287806283533,0.4403527966072017,0.36860705984431796
2.,0.23526418393391318,0.39907001465157826,0.3787453429609867
2.5,0.2729453603761802,0.4513003225882257,0.32459338985906705
3.,0.191951570284797,0.5054803570761687,0.35180704839737714
3.5,0.1807945172948656,0.4929982445883947,0.38045312051548397
4.,0.13582033862020426,0.5248798104021708,0.33221362286963907
4.5,0.13259978046692783,0.41432221554966475,0.3079683652334853
5.,0.12306369171738256,0.5402783749718536,0.3392000090049666
5.5,0.1376913014730493,0.5619829053369313,0.31740265386318756
6.,0.09818259336479639,0.5539676563498134,0.29115613945293417
6.5,0.12156476121552225,0.5457331461413008,0.39792243186110937
7.,0.15626543101592869,0.5354566341506299,0.3786461475785687
7.5,0.06734090762260492,0.5072585208055901,0.465294076061341
8.,0.08196722680877672,0.5569722463209391,0.41809879417732077
8.5,0.15838412675745087,0.6696578249800335,0.32687413709407814
9.,0.08412002500710694,0.5623509006376208,0.446298521884562
9.5,0.09090458304491938,0.6222360128839153,0.3251630475244147
10.,0.15662327158896383,0.43603778168609236,0.571107342527666
10.5,0.09707239151408054,0.46545987324388544,0.395739625313446
11.,0.1560920792000668,0.22413467655347835,0.5451738147883165
11.5,0.10917940533108955,0.3030580963629963,0.5631953735698383
12.,0.1030149525855034,0.33337732034560896,0.5906576878753725
12.5,0.029931056678805606,0.2467697942436475,0.6054547448871883
13.,0.03171146441279778,0.3359949187437895,0.6389214096162856
13.5,0.149717269558692,0.11141657390496514,0.778725794391691
14.,0.18238047137199742,0.2359024308639748,0.7106871222710385
14.5,0.09434622127156404,0.17316092103155117,0.7339992606644677
15.,0.07853115174240888,0.20159690368838268,0.6205091621937113
15.5,0.11643670265781286,0.2670068023761562,0.5755834316559069
16.,0.24325369270168043,0.14645762859548384,0.6112253326972775
16.5,0.14561832063739139,0.17220906829641866,0.6220139824831074
17.,0.2731345276583029,0.2487517123602659,0.5932897979705718
17.5,0.23789390824345527,0.34766952751120334,0.5051973285288378
18.,0.3149112486974914,0.21927912753634338,0.516280862054593
18.5,0.20701137964028668,0.37180647946421463,0.5327605366230864
19.,0.18575735724385653,0.3524109755683525,0.39239727385257633
19.5,0.26164626279746783,0.3108824343164363,0.49754422515483643
20.,0.23797653288074577,0.2958063568482286,0.5810760235494943
20.5,0.3321849674191079,0.3723786132856327,0.41619683361968907
21.,0.18551600415753158,0.3119554455530336,0.48753294852044743
21.5,0.338707431973883,0.2776281529377297,0.33645859072671164
22.,0.2218069105170715,0.27095699189095,0.4130704725183095
22.5,0.25612855187135625,0.2676780114562896,0.5614148057944263
23.,0.18806464214354854,0.3625419836720907,0.47077443509620837
23.5,0.25785279425565677,0.3917157554052493,0.4744977089670613
24.,0.20694077832260557,0.3293690973958982,0.47086553274750953
24.5,0.31204102012274393,0.3355929496204588,0.48292096454694944
25.,0.24752167433525787,0.26133877521562465,0.5421442859267938
25.5,0.25721964242925066,0.3476046447465309,0.45198937098738934
26.,0.2623738384802243,0.238994368619432,0.5391564392099187
26.5,0.21958226766340838,0.25685209852021695,0.5572274690200303
27.,0.23248404572213704,0.25445277560362034,0.5657144305951464
27.5,0.3214773754727216,0.20857154452880397,0.47938078164678943
28.,0.24293633104476292,0.18486073488751545,0.44988965728848546
28.5,0.2861969272455384,0.22827583075745503,0.36515826737442425
29.,0.2794702744528058,0.11586409836477918,0.6497697768979706
29.5,0.26683544917149765,0.06618070925811351,0.6389713716904154
30.,0.3550282625626642,-0.010914848494462503,0.6389819842590371
30.5,0.3801490317605053,0.00717979227204972,0.528099315338567
31.,0.33644321197705074,0.07239941173717704,0.5716202094958063
31.5,0.4693413873025446,0.07052163246360511,0.5318087835740196
32.,0.4154545101915404,0.05529147874434133,0.5396917431018046
32.5,0.5104476386535121,0.03363503472661085,0.5104517294093716
33.,0.4153195010886322,-0.020713678474607908,0.5802107290191444
33.5,0.4403043554567912,0.08118544820806427,0.5159398278621666
34.,0.4344030788731862,0.018006254666231375,0.4431793799808358
34.5,0.4925853465127106,0.02372391666796684,0.48524059246716245
35.,0.5158515264707716,-0.03516067762576062,0.45577863740184177
35.5,0.518815091654799,0.017998400590342523,0.5827202533064291
36.,0.6329637301763589,-0.0032968215126951616,0.4552927957521067
36.5,0.4880322470566191,-0.04802128508966846,0.45808121712525585
37.,0.47391804591657594,0.0002142512311573098,0.49592349017036097
37.5,0.5971806621357179,-0.07461768456130165,0.4778090379597619
38.,0.5915150733270219,0.02476712073990255,0.48612025664045244
38.5,0.5875830458175719,0.05207686929692465,0.385457920384668
39.,0.47827778849937647,-0.046953006767457874,0.381470192162213
39.5,0.5725510995168813,-0.046186201485944885,0.44921550091177864
40.,0.5861551352990522,-0.019455640893099656,0.3583816270106981
