"Time","Coral","Macro","Turf"
0.,0.31642486396526254,0.6004473787135761,0.13065026498656587
0.5,0.25398680971668314,0.6641201600088171,0.18126495401683598
1.,0.22147305052920765,0.5305858110228622,0.31352305179099166
1.5,0.23694549170959622,0.41408210230281595,0.32644388008841607
2.,0.12590121293643636,0.4753360639554965,0.38561775725628994
2.5,0.161585295457796,0.6054083818567624,0.30306907654428694
3.,0.09898599899791728,0.4201828340136686,0.34319890287881716
3.5,0.11641395747895453,0.37915336840228786,0.49584120013081256
4.,0.187306755936981,0.46894142077172474,0.38389676318390525
4.5,0.0973054128965846,0.4084569845163644,0.44684033811166757
5.,0.22588079636544622,0.4923783295893752,0.44585022340225333
5.5,0.09705376328636534,0.43142473059003605,0.41984737182851817
6.,0.14776144359061602,0.25538952120662656,0.6356722896383333
6.5,0.13001813956036654,0.12889112477349213,0.6494349064578339
7.,0.12263342761892132,0.36054640953113715,0.5319218339612222
7.5,0.23770589218351598,0.23357002141882968,0.6333738717451225
8.,0.17086730303260095,0.3719919553226069,0.5714722990743857
8.5,0.1599931018846125,0.307681939200568,0.4237590601931819
9.,0.12743683156353386,0.38658054195231606,0.5397693974681477
9.5,0.22386488363538312,0.36884939645221204,0.46812407125900374
10.,0.2355949954048092,0.15164049233160354,0.5143818684830525
10.5,0.16803412542884433,0.27800589276539134,0.5098402540183888
11.,0.27075246957217364,0.21962860396035244,0.5215285337265946
11.5,0.24837344295109706,0.17132943646169008,0.57213229314912
12.,0.2192209813606697,0.05766370917541003,0.6995597483547411
12.5,0.17990174181863702,0.026128910090034915,0.6386513890304174
13.,0.35357156082811486,0.050677176405036495,0.5825266281966639
13.5,0.19817991774012234,0.13585906257547736,0.6595682189418178
14.,0.37394661314321104,0.07946763445934182,0.5467760554619836
14.5,0.3535211252848773,-0.011711430051112429,0.5621457551486715
15.,0.33381723136242325,0.12741744122145537,0.5342634912955763
15.5,0.3378882109269595,0.03572391977946799,0.5373824568113212
16.,0.4543018497233968,0.14381417591800522,0.44805876877083334
16.5,0.39871948806376306,0.09038294925363936,0.5045837611212508
17.,0.4505247325431048,0.06254361834987882,0.5539108262243158
17.5,0.4806319206140446,0.04166003606134922,0.5176756017510248
18.,0.36104202995924095,0.05940226107270712,0.43227621751393674
18.5,0.5791049843340845,0.05156527244997952,0.42500330474065506
19.,0.5277930109576011,-0.008880180852700831,0.49649026965110427
19.5,0.4379190831329199,0.043259333891390986,0.4107202552753578
20.,0.4878605898846065,-0.0402827568835467,0.47189392502573707
20.5,0.5254995554134619,0.0007400220574306257,0.4430446004221662
21.,0.587556781925231,-0.0024090668532347013,0.492340657682563
21.5,0.47758062301243825,0.030733252860869403,0.4825516581818143
22.,0.5381115308743454,-0.06379614083168095,0.42211083354385465
22.5,0.544527289357275,-0.09073458780469656,0.41140584836182464
23.,0.520590585097422,0.047289692390628836,0.4228423152768036
23.5,0.6169816026758599,-0.050957434233188825,0.41575319211550193
24.,0.5012435210354438,0.02208682712053837,0.374762439724666
24.5,0.5549323043644134,-0.014125896235195157,0.4134995258664712
25.,0.6605656955694436,0.03301351560685481,0.49111095077649847
25.5,0.6098795625132776,-0.029598344349676915,0.49714040275692234
26.,0.6628091879655763,0.14931707988092532,0.37118378623769743
26.5,0.5951934349577455,0.04114841872287407,0.4489159332911138
27.,0.5551517645179861,0.01941640467042555,0.4454340010653525
27.5,0.5447379309811956,0.022951831262233297,0.45867356186014296
28.,0.45416312338124165,0.06501729131418273,0.3803506869923422
28.5,0.6360064319227221,0.032382850570278246,0.4520192585383533
29.,0.5656562894301825,0.010642024406426412,0.37764034434315163
29.5,0.6233313086581288,0.04899503727071107,0.5168139936286799
30.,0.5150431118926143,0.01738657159402341,0.44178740307789927
30.5,0.6386928629140586,0.07829087961439234,0.4688858147749671
31.,0.5791047208196396,0.02725747191878689,0.31760107647028024
31.5,0.505128645187425,-0.05319516250180027,0.4051370448046952
32.,0.5384203119434069,0.08756890282696596,0.45063608307875413
32.5,0.5500501561558083,-0.014985259318736403,0.4970735492187241
33.,0.47496614436593676,0.022121533122056596,0.46206735633942425
33.5,0.5701442126179017,-0.07169550466769584,0.39269152920408534
34.,0.6358369661470727,0.04702132508018804,0.4619983266587745
34.5,0.5942909534285823,-0.05324914207437287,0.4479279973459096
35.,0.5856359268557279,0.010159876301809674,0.40269201039739866
35.5,0.4762325239870061,0.07628856389293866,0.34166465551352676
36.,0.46717266134989954,-0.0019331491294385362,0.45731030569614123
36.5,0.6497571527970922,-0.0027032056534043603,0.5064939656628867
37.,0.6072849686161385,0.04949658091054475,0.47257250808319545
37.5,0.5280984631121022,-0.04855398856110773,0.4549586523743954
38.,0.564898755774818,-0.04083307598795698,0.5094469981514819
38.5,0.6289503635107992,-0.0465918952659647,0.5997198310055439
39.,0.5902955369212411,0.031360197872796425,0.4723126695208638
39.5,0.5750562097535082,-0.028620823885960645,0.47490739334183774
40.,0.5206209075111048,-0.009322244342742817,0.48859384094666786
